Date,Lower,Upper
02-Oct-20,4,8
09-Oct-20,4,8
16-Oct-20,4,7
23-Oct-20,3,5
30-Oct-20,3,5
06-Nov-20,2,4
13-Nov-20,1,4
20-Nov-20,0,2
27-Nov-20,-2,1
04-Dec-20,-3,0
11-Dec-20,-2,0
18-Dec-20,2,4
23-Dec-20,2,5
08-Jan-21,1,6
15-Jan-21,1,4
22-Jan-21,-4,0
29-Jan-21,-4,0
05-Feb-21,-5,-2
12-Feb-21,-5,-3
19-Feb-21,-6,-3
26-Feb-21,-5,-3
05-Mar-21,-5,-3
12-Mar-21,-6,-4
19-Mar-21,-6,-2
26-Mar-21,-4,0
02-Apr-21,-4,0
09-Apr-21,-4,0
16-Apr-21,-6,-1
23-Apr-21,-5,-1
30-Apr-21,-4,-1
07-May-21,-3,0
